addr, bit0,  bit1,  bit2,  bit3,  bit4,  bit5,  bit6,  bit7
 222,  1470,  1450,  1490,  1450,  1380,  1410,  1500,  1490
 223,  1390,  1480,  1370,  1490,  1480,  1390,  1450,  1470
 224,  1460,  1480,  1500,  1490,  1480,  1490,  1520,  1460
 225,  1480,  1490,  1490,  1500,  1490,  1410,  1500,  1360
 226,  1440,  1400,  1480,  1420,  1450,  1460,  1490,  1480
 227,  1480,  1480,  1360,  1510,  1460,  1490,  1510,  1490
 228,  1460,  1460,  1260,  1490,  1480,  1380,  1400,  1420
 229,  1470,  1380,  1490,  1350,  1480,  1500,  1510,  1480
 230,  1480,  1460,  1370,  1480,  1460,  1480,  1520,  1270
 231,  1470,  1480,  1190,  1490,  1490,  1410,  1510,  1490
 232,  1460,  1460,  1480,  1350,  1400,  1460,  1490,  1460
 233,  1470,  1480,  1360,  1490,  1470,  1490,  1510,  1340
 234,  1430,  1460,  1490,  1350,  1490,  1400,  1340,  1460
 235,  1470,  1470,  1490,  1480,  1470,  1490,  1500,  1460
 236,  1460,  1450,  1470,  1490,  1480,  1320,  1490,  1470
 237,  1190,  1480,  1480,  1360,  1480,  1490,  1490,  1480
 238,  1480,  1400,  1490,  1510,  1380,  1500,  1510,  1480
 239,  1480,  1490,  1480,  1500,  1480,  1500,  1510,  1410
 240,  1420,  1490,  1480,  1490,  1500,  1390,  1390,  1470
 241,  1480,  1500,  1500,  1500,  1340,  1490,  1250,  1480
 242,  1480,  1400,  1360,  1350,  1490,  1500,  1500,  1360
 243,  1490,  1480,  1330,  1490,  1490,  1390,  1380,  1480
 244,  1480,  1400,  1500,  1500,  1380,  1490,  1510,  1480
 245,  1480,  1490,  1360,  1500,  1450,  1500,  1520,  1480
 246,  1430,  1490,  1500,  1430,  1490,  1420,  1400,  1430
 247,  1480,  1490,  1360,  1500,  1390,  1480,  1510,  1490
 248,  1430,  1390,  1490,  1490,  1490,  1380,  1490,  1350
 249,  1470,  1470,  1490,  1480,  1490,  1490,  1510,  1480
 250,  1430,  1480,  1500,  1500,  1480,  1480,  1490,  1490
 251,  1480,  1470,  1490,  1490,  1500,  1490,  1500,  1490
 252,  1330,  1400,  1500,  1360,  1390,  1480,  1420,  1480
 253,  1300,  1280,  1360,  1470,  1340,  1410,  1510,  1340
 254,  1280,  1480,  1250,  1350,  1490,  1320,  1400,  1480
 255,  1490,  1380,  1360,  1490,  1390,  1490,  1510,  1360
