addr, bit0,  bit1,  bit2,  bit3,  bit4,  bit5,  bit6,  bit7
 219,  1410,  1420,  1410,  1420,  1430,  1410,  1430,  1200
 220,  1360,  1350,  1380,  1420,  1450,  1410,  1430,  1420
 221,  1410,  1420,  1420,  1420,  1440,  1410,  1400,  1370
 222,  1410,  1430,  1420,  1420,  1420,  1270,  1420,  1420
 223,  1370,  1430,  1410,  1430,  1440,  1260,  1390,  1430
 224,  1410,  1420,  1420,  1430,  1440,  1420,  1430,  1420
 225,  1410,  1420,  1410,  1420,  1440,  1310,  1420,  1370
 226,  1370,  1370,  1420,  1380,  1440,  1410,  1420,  1420
 227,  1410,  1430,  1390,  1430,  1430,  1410,  1430,  1420
 228,  1410,  1420,  1290,  1420,  1440,  1380,  1400,  1370
 229,  1410,  1360,  1410,  1360,  1430,  1410,  1420,  1420
 230,  1410,  1430,  1390,  1430,  1460,  1420,  1420,  1230
 231,  1410,  1420,  1280,  1420,  1430,  1380,  1430,  1430
 232,  1410,  1420,  1420,  1370,  1370,  1410,  1420,  1410
 233,  1410,  1430,  1390,  1430,  1430,  1410,  1420,  1370
 234,  1200,  1420,  1410,  1370,  1440,  1380,  1220,  1420
 235,  1410,  1420,  1420,  1430,  1440,  1420,  1420,  1420
 236,  1410,  1430,  1420,  1430,  1470,  1370,  1420,  1420
 237,  1230,  1420,  1410,  1370,  1440,  1410,  1420,  1420
 238,  1410,  1360,  1410,  1430,  1390,  1410,  1420,  1420
 239,  1410,  1430,  1420,  1430,  1420,  1420,  1430,  1360
 240,  1250,  1420,  1410,  1420,  1440,  1370,  1390,  1420
 241,  1410,  1430,  1420,  1430,     0,  1420,  1250,  1420
 242,  1410,  1360,  1380,  1370,  1470,  1410,  1420,  1370
 243,  1370,  1420,  1260,  1430,  1430,  1380,  1390,  1420
 244,  1410,  1370,  1420,  1420,  1350,  1410,  1420,  1420
 245,  1410,  1420,  1390,  1430,  1430,  1420,  1430,  1420
 246,  1370,  1420,  1420,  1370,  1440,  1380,  1390,  1190
 247,  1410,  1420,  1400,  1430,  1410,  1410,  1420,  1420
 248,  1370,  1360,  1410,  1420,  1430,  1370,  1420,  1370
 249,  1410,  1420,  1420,  1430,  1440,  1410,  1430,  1420
 250,  1360,  1420,  1420,  1430,  1450,  1410,  1430,  1420
 251,  1410,  1420,  1410,  1420,  1430,  1410,  1430,  1420
 252,  1360,  1360,  1420,  1360,  1360,  1410,  1390,  1410
 253,  1040,  1160,  1070,  1430,     0,  1080,  1420,  1370
 254,   930,  1420,  1030,  1360,  1480,  1370,  1420,  1420
 255,  1410,  1360,  1410,  1430,  1430,  1420,  1420,  1370
